Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,2725.000000,3024.000000,2725.000000,2891.550049,2883.313721,6019374
2017-09-19,2946.000000,2995.000000,2872.399902,2892.500000,2884.260986,793984
2017-09-20,2888.000000,2888.000000,2752.850098,2806.850098,2798.854980,502724
2017-09-21,2803.600098,2803.600098,2684.000000,2764.350098,2756.475830,319940
2017-09-22,2790.449951,2790.449951,2635.000000,2659.649902,2652.073975,188337
2017-09-25,2620.000000,2705.600098,2506.350098,2612.750000,2605.307861,331770
2017-09-26,2616.100098,2679.000000,2616.100098,2634.949951,2627.444336,106349
2017-09-27,2658.000000,2708.800049,2569.899902,2599.800049,2592.394775,135647
2017-09-28,2608.000000,2660.000000,2590.550049,2633.899902,2626.397217,66796
2017-09-29,2646.000000,2683.899902,2640.000000,2648.750000,2641.205322,58554
2017-10-03,2665.000000,2715.000000,2578.800049,2695.899902,2688.220947,81130
2017-10-04,2710.149902,2749.000000,2677.000000,2722.800049,2715.044434,78968
2017-10-05,2715.000000,2741.000000,2687.000000,2697.149902,2689.467041,73062
2017-10-06,2701.250000,2745.000000,2663.500000,2677.199951,2669.574219,49385
2017-10-09,2677.000000,2709.949951,2601.500000,2631.649902,2624.154053,45353
2017-10-10,2635.000000,2681.300049,2622.000000,2662.750000,2655.165283,48630
2017-10-11,2745.000000,2755.000000,2651.250000,2667.449951,2659.851563,121158
2017-10-12,2696.000000,2754.000000,2670.000000,2742.699951,2734.887451,83492
2017-10-13,2746.000000,2787.000000,2720.100098,2734.050049,2726.262207,49186
2017-10-16,2740.000000,2745.449951,2660.300049,2671.850098,2664.239502,29702
2017-10-17,2656.000000,2682.000000,2632.050049,2651.149902,2643.598145,22621
2017-10-18,2645.500000,2680.000000,2634.399902,2662.699951,2655.115479,18340
2017-10-19,2660.000000,2686.949951,2630.100098,2654.850098,2647.287842,4823
2017-10-23,2655.000000,2670.350098,2646.050049,2655.949951,2648.384521,28403
2017-10-24,2658.899902,2805.000000,2651.949951,2760.300049,2752.437500,127849
2017-10-25,2780.000000,2805.699951,2680.000000,2768.149902,2760.264893,50483
2017-10-26,2723.100098,2778.449951,2723.000000,2754.250000,2746.404785,35734
2017-10-27,2765.000000,2765.000000,2720.000000,2737.300049,2729.503174,26625
2017-10-30,2740.000000,2780.000000,2730.000000,2736.699951,2728.904541,62954
2017-10-31,2730.000000,2759.000000,2675.000000,2724.300049,2716.540039,49346
2017-11-01,2729.000000,2742.199951,2705.000000,2712.300049,2704.574219,6784
2017-11-02,2731.899902,2740.000000,2700.000000,2704.000000,2696.297852,9387
2017-11-03,2713.899902,2714.000000,2683.100098,2688.350098,2680.692627,12047
2017-11-06,2688.000000,2720.000000,2669.050049,2692.399902,2684.730713,11698
2017-11-07,2699.000000,2703.000000,2650.000000,2667.600098,2660.001709,13244
2017-11-08,2661.050049,2708.800049,2651.000000,2683.250000,2675.606934,13108
